Date,Price,Open,High,Low,Vol.,Change %
2020/8/17,305.98,305.13,306.5,305.07,408.78K,0.86%
2020/8/18,306.89,306.72,307.79,304.43,411.21K,0.30%
2020/8/19,306.41,307.5,309.06,306,434.27K,-0.16%
2020/8/20,310.36,305.54,310.93,304.82,457.95K,1.29%
2020/8/21,313.59,310.77,314.04,310.56,645.61K,1.04%
2020/8/24,316.14,318.21,318.42,313.59,568.29K,0.81%
2020/8/25,317.65,315.7,317.88,314.86,513.59K,0.48%
2020/8/26,324.22,320.88,325.14,320.44,638.56K,2.07%
2020/8/27,324.02,325.67,326.62,321.29,682.49K,-0.06%
2020/8/28,327.15,325.47,328.11,325.23,748.22K,0.97%
2020/8/31,328.15,328.29,330.32,326.51,643.04K,0.31%
2020/9/1,335.96,331.78,336.29,330.26,858.89K,2.38%
2020/9/2,338.36,340.74,340.74,332.28,1.14M,0.71%
2020/9/3,318.35,332.76,332.76,315.92,2.16M,-5.91%
2020/9/4,313.29,316.49,320.84,299.81,2.33M,-1.59%
2020/9/8,299.64,302.26,309,299.21,2.11M,-4.36%
2020/9/9,309.1,306.59,312.17,303.38,1.21M,3.16%
2020/9/10,302.58,313.5,314.18,300.94,1.17M,-2.11%
2020/9/11,299.45,305.02,305.44,295.79,1.25M,-1.03%
2020/9/14,305.82,304.38,307.27,303.15,720.36K,2.13%
2020/9/15,309.16,310.68,311.01,306.95,774.61K,1.09%
2020/9/16,304.53,310.34,310.74,304.37,674.06K,-1.50%
2020/9/17,301.8,297.55,303.6,297.1,893.52K,-0.90%
2020/9/18,297.37,302.59,302.65,293.66,1.11M,-1.47%
2020/9/21,300.11,292.37,300.22,291.18,1.37M,0.92%
2020/9/22,305.09,303.6,305.67,298.34,819.08K,1.66%
2020/9/23,295.97,304.96,305.27,294.97,745.83K,-2.99%
2020/9/24,296.88,292.75,300.51,292.59,728.26K,0.31%
2020/9/25,304.36,297.24,305.13,295.49,647.22K,2.52%
2020/9/28,310,309.14,310,306.85,668.40K,1.85%
2020/9/29,309.15,309.87,311.15,308.74,542.72K,-0.27%
2020/9/30,311.45,309.23,314.58,308.69,731.68K,0.74%
2020/10/1,315.33,315.59,316.18,313.43,701.29K,1.25%
2020/10/2,308.07,307.96,313.13,306.85,1.04M,-2.30%
2020/10/5,315.07,310.41,315.07,310.41,721.83K,2.27%
2020/10/6,310.73,314.41,317.74,309.43,627.49K,-1.38%
2020/10/7,316.61,313.93,317.19,313.93,532.87K,1.89%
2020/10/8,318,319.31,319.69,317.14,1.19M,0.44%
2020/10/9,323.37,319.78,323.37,319.63,442.60K,1.69%
2020/10/12,331.52,328.33,333.46,326.22,655.98K,2.52%
2020/10/13,329.91,332.69,333.37,328.78,948.36K,-0.49%
2020/10/14,328.06,330.89,332.29,325.55,1.09M,-0.56%
2020/10/15,326.82,322.23,327.32,321.13,581.84K,-0.38%
2020/10/16,325.78,328.57,329.73,325.78,398.54K,-0.32%
2020/10/19,320.8,327.79,328.97,319.67,536.80K,-1.53%
2020/10/20,321.21,321.93,324.61,319.7,820.95K,0.13%
2020/10/21,320.06,320.88,323.49,319.4,322.25K,-0.36%
2020/10/22,318.79,320.17,321.37,314.73,452.25K,-0.40%
2020/10/23,318.6,319.28,319.81,315.99,261.46K,-0.06%
2020/10/26,311.72,315.36,317.63,307.84,601.25K,-2.16%
2020/10/27,313.12,313.29,314.29,311.67,412.12K,0.45%
2020/10/28,300.62,307.22,307.31,300.02,803.66K,-3.99%
2020/10/29,304.88,301.99,308.28,301.48,734.81K,1.42%
2020/10/30,297.99,301.05,302.58,294.79,842.58K,-2.26%
2020/11/2,298.61,300.38,302.45,295.4,619.41K,0.21%
2020/11/3,304.02,300.83,306.07,299.63,897.15K,1.81%
2020/11/4,316.04,313.35,318.17,310,919.85K,3.95%
2020/11/5,326.1,323.99,326.69,323.1,929.99K,3.18%
2020/11/6,327.62,325.36,328.38,321.24,489.32K,0.47%
2020/11/9,324.2,336.25,336.25,323.64,905.22K,-1.04%
2020/11/10,317.5,320.85,323.19,314.58,1.26M,-2.07%
2020/11/11,325.26,321.05,326.22,320.46,683.51K,2.44%
2020/11/12,322.73,325.57,327.11,321.36,372.49K,-0.78%
2020/11/13,325.27,325.05,325.88,322.16,313.13K,0.79%
2020/11/16,328.47,326.25,329,324.4,551.57K,0.98%
2020/11/17,327.52,327.11,329.18,325.56,374.23K,-0.29%
2020/11/18,324.11,327.39,328.52,324.11,364.75K,-1.04%
2020/11/19,327.66,324.23,327.95,322.6,307.54K,1.10%
2020/11/20,325.03,327.86,328.5,324.91,320.19K,-0.80%
2020/11/23,325.24,326.05,327.85,322.5,414.73K,0.06%
2020/11/24,329.1,326.59,329.67,323.95,475.79K,1.19%
2020/11/25,330.64,330.33,331.37,329,317.12K,0.47%
2020/11/27,333.09,332.54,334.1,332.27,217.87K,0.74%
2020/11/30,335.33,333.24,335.5,328.8,390.30K,0.67%
2020/12/1,338.11,337.55,339.93,335.83,718.93K,0.83%
2020/12/2,337.7,336.83,338.04,334.13,363.35K,-0.12%
2020/12/3,337.91,338.31,340.25,337.24,288.37K,0.06%
2020/12/4,341.7,338.66,341.7,338.03,369.41K,1.12%
2020/12/7,342.55,341.83,343.56,341.49,448.78K,0.25%
2020/12/8,344.1,342.45,345.26,341.29,417.06K,0.45%
2020/12/9,337.04,344.19,344.91,335.75,938.30K,-2.05%
2020/12/10,338.53,334.89,339.87,334.11,796.33K,0.44%
2020/12/11,337.93,336.49,338,334.08,424.00K,-0.18%
2020/12/14,339.38,339.36,342.16,339.17,308.58K,0.43%
2020/12/15,345.02,342.81,345.02,341.21,470.27K,1.66%
2020/12/16,347.53,345.59,348.35,344.46,372.97K,0.73%
2020/12/17,350,349.26,350.49,348.33,487.62K,0.71%
2020/12/18,349.06,350.77,350.81,347.45,378.22K,-0.27%
2020/12/21,349.99,345.77,350.16,342.56,603.61K,0.27%
2020/12/22,353.77,352.16,355.07,350.79,525.13K,1.08%
2020/12/23,350.55,354.47,354.86,350.5,388.67K,-0.91%
2020/12/24,352.88,351.27,353.67,351.27,182.44K,0.66%
